snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-03-29,aimtechs2-collab,1,0,0,0,0,0,0,0,1
2026-03-29,airamifta,1,0,0,0,0,0,0,0,1
2026-03-29,areekaaijaz123,1,0,0,0,0,0,0,0,1
2026-03-29,borokoromara,1,0,0,0,0,0,0,0,1
2026-03-29,cikafeee,1,0,0,0,0,0,0,0,1
2026-03-29,dboyraz,1,0,0,0,0,0,0,0,1
2026-03-29,doberoi21,1,0,0,0,0,0,0,0,1
2026-03-29,dreynow,1,0,0,0,0,0,0,0,1
2026-03-29,ehoil-de,1,0,0,0,0,0,0,0,1
2026-03-29,eugen-goebel,1,0,0,0,0,0,0,0,1
2026-03-29,fuzenblue,1,0,0,0,0,0,0,0,1
2026-03-29,fylypas,1,0,0,0,0,0,0,0,1
2026-03-29,gideonlexy,1,0,0,0,0,0,0,0,1
2026-03-29,golisanjay,1,0,0,0,0,0,0,0,1
2026-03-29,haii1234,1,0,0,0,0,0,0,0,1
2026-03-29,harsh-mish,1,0,0,0,0,0,0,0,1
2026-03-29,hazri31,1,0,0,0,0,0,0,0,1
2026-03-29,irfankhanowaisi,1,0,0,0,0,0,0,0,1
2026-03-29,jaatboss,1,0,0,0,0,0,0,0,1
2026-03-29,matteotoutain,1,0,0,1,0,1,0,0,1
2026-03-29,mauriciofh123,1,0,0,0,0,0,0,0,1
2026-03-29,metz28,1,0,0,0,0,0,0,0,1
2026-03-29,miske3346,1,0,0,0,0,0,0,0,1
2026-03-29,muhammad-taha-munir,1,0,0,0,0,0,0,0,1
2026-03-29,nicolelwt731,1,0,0,0,0,0,0,0,1
2026-03-29,njsgibson,1,0,0,0,0,0,0,0,1
2026-03-29,onsrk,1,0,0,0,0,0,0,0,1
2026-03-29,phong232323,1,0,0,1,0,0,0,0,1
2026-03-29,playitpat,1,0,0,0,0,0,0,0,1
2026-03-29,prajwal287,1,0,0,0,0,0,0,0,1
2026-03-29,roberkys,1,0,0,0,0,0,0,0,1
2026-03-29,saragh66,1,0,0,0,0,0,0,0,1
2026-03-29,simran-715,1,0,0,0,0,0,0,0,1
2026-03-29,ssriramteja,1,0,0,1,0,0,0,0,1
2026-03-29,subhamay-bhattacharyya,1,0,0,0,0,0,0,0,1
2026-03-29,taha-mehmood-03,1,0,0,0,0,0,0,0,1
2026-03-29,tshikositshifhiwa4-cmyk,1,0,0,0,0,0,0,0,1
2026-03-29,vijaygupta18,1,0,0,0,0,0,0,0,1
2026-03-29,yogisyahroni,1,0,0,0,0,0,0,0,1
2026-03-29,yvkvijay,1,0,0,0,0,0,0,0,1
2026-03-28,GokuMohandas,1,46993,46993,7378,46993,24,0,0,1
2026-03-28,CodePhiliaX,1,25294,25294,2765,25294,517,0,0,1
2026-03-28,plausible,1,24482,24482,1367,24482,73,0,0,1
2026-03-28,dubinc,1,23256,23256,2908,23256,107,0,0,1
2026-03-28,Avaiga,1,19143,19143,1969,19143,200,0,0,1
2026-03-28,Tencent,1,18409,18409,2274,18409,238,0,0,1
2026-03-28,zhisheng17,1,15058,15058,3958,15058,0,0,0,1
2026-03-28,andkret,1,15020,15020,2704,15020,125,0,0,1
2026-03-28,googleapis,1,13566,13566,1290,13566,187,0,0,1
2026-03-28,great-expectations,1,11299,11299,1705,11299,58,0,0,1
2026-03-28,xonsh,1,9264,9264,704,9264,279,0,0,1
2026-03-28,mage-ai,1,8690,8690,950,8690,564,0,0,1
2026-03-28,feast-dev,1,6841,6841,1253,6841,328,0,0,1
2026-03-28,cocoindex-io,1,6656,6656,483,6656,63,0,0,1
2026-03-28,evidence-dev,1,6109,6109,332,6109,258,0,0,1
2026-03-28,Eventual-Inc,1,5353,5353,427,5353,323,0,0,1
2026-03-28,treeverse,1,5220,5220,438,5220,440,0,0,1
2026-03-28,dlt-hub,1,5133,5133,482,5133,307,0,0,1
2026-03-28,rudderlabs,1,4379,4379,23,4379,27,0,0,1
2026-03-28,whoiskatrin,1,4312,4312,377,4312,7,0,0,1
2026-03-28,Moataz-Elmesmary,1,4191,4191,587,4191,0,0,0,1
2026-03-28,aws,1,4106,4106,722,4106,40,0,0,1
2026-03-28,ruc-datalab,1,3902,3902,584,3902,21,0,0,1
2026-03-28,Netflix,1,3742,3742,268,3742,27,0,0,1
2026-03-28,hemansnation,1,3663,3663,701,3663,17,0,0,1
2026-03-28,superstreamlabs,1,3429,3429,223,3429,108,0,0,1
2026-03-28,decodingai-magazine,1,2595,2595,466,2595,5,0,0,1
2026-03-28,metarank,1,2410,2410,108,2410,124,0,0,1
2026-03-28,opendatadiscovery,2,2402,1201,208,2402,120,0,0,2
2026-03-28,meltano,1,2394,2394,205,2394,269,0,0,1
2026-03-28,sodadata,1,2314,2314,259,2314,170,0,0,1
2026-03-28,bytewax,1,1964,1964,107,1964,41,0,0,1
2026-03-28,data-engineering-community,1,1915,1915,233,1915,14,0,0,1
2026-03-28,Hiflylabs,1,1660,1660,161,1660,5,0,0,1
2026-03-28,mlrun,1,1658,1658,299,1658,99,0,0,1
2026-03-28,Multiwoven,1,1644,1644,86,1644,102,0,0,1
2026-03-28,kantord,1,1575,1575,59,1575,12,0,0,1
2026-03-28,OBenner,1,1556,1556,525,1556,2,0,0,1
2026-03-28,quixio,1,1529,1529,99,1529,23,0,0,1
2026-03-28,pyjanitor-devs,1,1487,1487,182,1487,107,0,0,1
2026-03-28,GoogleCloudPlatform,1,1424,1424,729,1424,25,0,0,1
2026-03-28,fmind,1,1402,1402,200,1402,8,0,0,1
2026-03-28,quiltdata,1,1360,1360,90,1360,90,0,0,1
2026-03-28,xxxily,1,1284,1284,120,1284,0,0,0,1
2026-03-28,lakehq,1,1191,1191,82,1191,185,0,0,1
2026-03-28,Zleap-AI,1,1123,1123,20,1123,1,0,0,1
2026-03-28,kanton-bern,1,265,265,24,265,3,0,0,1
2026-03-28,starlake-ai,1,193,193,27,193,56,0,0,1
2026-03-28,zapplyjobs,3,174,58,12,174,2,0,0,1
2026-03-28,TheDataMine,1,27,27,43,27,67,0,0,1
2026-03-28,evgeniimatveev,1,3,3,0,3,3,0,0,1
2026-03-28,Sehab121,1,2,2,0,2,0,0,0,1
2026-03-28,aforoughi1,1,2,2,0,2,0,0,0,1
2026-03-28,open-interview,1,2,2,2,2,0,0,0,1
2026-03-28,CoryLawsonxMortgageAI,1,1,1,0,1,2,0,0,1
2026-03-28,Danny-Ap,1,1,1,1,1,0,0,0,1
2026-03-28,Kasuba-phani,1,1,1,0,1,0,0,0,1
2026-03-28,SpiralCloudOmega,1,1,1,0,1,14,0,0,1
2026-03-28,TsilidisV,1,1,1,0,1,0,0,0,1
2026-03-28,cianfhoghlaim,1,1,1,0,1,0,0,0,1
2026-03-28,enriquegomeztagle,1,1,1,0,1,1,0,0,1
2026-03-28,espinosacodes,1,1,1,0,1,0,0,0,1
2026-03-28,husam-hammami,1,1,1,0,1,0,0,0,1
2026-03-28,hxwd94666,1,1,1,0,1,0,0,0,1
2026-03-28,imakshat47,1,1,1,6,1,1,0,0,1
2026-03-28,reedwhetstone,1,1,1,0,1,2,0,0,1
2026-03-28,Abhi-Gangurde,1,0,0,0,0,0,0,0,1
2026-03-28,Akunfalse,1,0,0,0,0,0,0,0,1
2026-03-28,Analytics-JDS,1,0,0,0,0,0,0,0,1
2026-03-28,Anish-Upadhyay,1,0,0,0,0,0,0,0,1
2026-03-28,Arrah28,1,0,0,0,0,0,0,0,1
2026-03-28,Balasubramanian-pg,1,0,0,0,0,0,0,0,1
2026-03-28,CommittedCoaches,1,0,0,0,0,0,0,0,1
2026-03-28,DRAQX,1,0,0,0,0,0,0,0,1
2026-03-28,Djisu,1,0,0,0,0,0,0,0,1
2026-03-28,EricGuerrize,1,0,0,0,0,0,0,0,1
2026-03-28,Ezekwemdesmond,1,0,0,0,0,0,0,0,1
2026-03-28,GAkbulutlar,1,0,0,0,0,0,0,0,1
2026-03-28,GYULEE55,1,0,0,0,0,0,0,0,1
2026-03-28,Hector-p,1,0,0,0,0,0,0,0,1
2026-03-28,Houciene,1,0,0,0,0,0,0,0,1
2026-03-28,IFC-Chalaco,1,0,0,0,0,0,0,0,1
2026-03-28,JanaineJMX,1,0,0,0,0,0,0,0,1
2026-03-28,JohnOngeri,1,0,0,0,0,0,0,0,1
2026-03-28,KANH12,1,0,0,0,0,0,0,0,1
2026-03-28,KanwarRahul,1,0,0,0,0,0,0,0,1
2026-03-28,Mahesh-N-Data,1,0,0,0,0,0,0,0,1
2026-03-28,Michaelc00s,1,0,0,0,0,0,0,0,1
2026-03-28,Naima-ouc,1,0,0,0,0,0,0,0,1
2026-03-28,Prakharnamdeo15,1,0,0,0,0,0,0,0,1
2026-03-28,ProphetSunboy,1,0,0,0,0,0,0,0,1
2026-03-28,Sairanyx,1,0,0,1,0,0,0,0,1
2026-03-28,SakshiRawat25,1,0,0,0,0,0,0,0,1
2026-03-28,Simbus-Databricks,1,0,0,0,0,0,0,0,1
2026-03-28,SourabhKhamankar22,1,0,0,0,0,0,0,0,1
2026-03-28,Sravanthi-Git123,1,0,0,0,0,0,0,0,1
2026-03-28,TiisoBasisEnergy,1,0,0,0,0,0,0,0,1
2026-03-28,XARZGAMING,1,0,0,0,0,0,0,0,1
2026-03-28,adithyadaine,1,0,0,0,0,0,0,0,1
2026-03-28,alouiyaz78,1,0,0,0,0,0,0,0,1
2026-03-28,amrita-de,1,0,0,0,0,0,0,0,1
2026-03-28,andyombogo,1,0,0,0,0,0,0,0,1
2026-03-28,ankinguyen-engineer-2002,1,0,0,0,0,0,0,0,1
2026-03-28,antoniocalapai,1,0,0,0,0,0,0,0,1
2026-03-28,atomixon49,1,0,0,0,0,0,0,0,1
2026-03-28,axiom-of-choice,1,0,0,0,0,0,0,0,1
2026-03-28,azertydj23-design,1,0,0,0,0,0,0,0,1
2026-03-28,b8511,1,0,0,0,0,0,0,0,1
2026-03-28,bananasminecraftroblox192-glitch,1,0,0,0,0,0,0,0,1
2026-03-28,best254002-boop,1,0,0,0,0,0,0,0,1
2026-03-28,bpragatirao,1,0,0,0,0,0,0,0,1
2026-03-28,briceverola,1,0,0,0,0,0,0,0,1
2026-03-28,brunodutraho,1,0,0,0,0,0,0,0,1
2026-03-28,datasuccess,1,0,0,0,0,0,0,0,1
2026-03-28,elb200,1,0,0,0,0,0,0,0,1
2026-03-28,ericbrown379,1,0,0,0,0,0,0,0,1
2026-03-28,etc0,1,0,0,0,0,0,0,0,1
2026-03-28,felipefl142,1,0,0,0,0,0,0,0,1
2026-03-28,forthekidsq1-png,1,0,0,0,0,0,0,0,1
2026-03-28,hd2705,1,0,0,0,0,0,0,0,1
2026-03-28,janabrgs,1,0,0,0,0,0,0,0,1
2026-03-28,janiomjunior,1,0,0,0,0,0,0,0,1
2026-03-28,jhersonsanchez905-art,1,0,0,0,0,0,0,0,1
2026-03-28,joshap807,1,0,0,0,0,0,0,0,1
2026-03-28,lemosjose,1,0,0,0,0,0,0,0,1
2026-03-28,lulubazx,1,0,0,0,0,0,0,0,1
2026-03-28,mahmoudnasser-97,1,0,0,0,0,0,0,0,1
2026-03-28,marcoleloam,1,0,0,0,0,0,0,0,1
2026-03-28,mohammedwritten616,1,0,0,0,0,0,0,0,1
2026-03-28,mujahidnadeem6852443,1,0,0,0,0,0,0,0,1
2026-03-28,mwashburn160,1,0,0,0,0,0,0,0,1
2026-03-28,nagasantoshchavvakula,1,0,0,0,0,0,0,0,1
2026-03-28,openinherit,1,0,0,2,0,10,0,0,1
2026-03-28,otaviobernardo,1,0,0,0,0,0,0,0,1
2026-03-28,powerofzeus123,1,0,0,0,0,0,0,0,1
2026-03-28,pranjalmandhan,1,0,0,0,0,0,0,0,1
2026-03-28,realusmannazir1,1,0,0,0,0,0,0,0,1
2026-03-28,rlemke,1,0,0,0,0,0,0,0,1
2026-03-28,rohithhelman,1,0,0,0,0,0,0,0,1
2026-03-28,rtjohnson0,1,0,0,0,0,0,0,0,1
2026-03-28,salonichauhan1101,1,0,0,0,0,0,0,0,1
2026-03-28,sewon-p,1,0,0,0,0,0,0,0,1
2026-03-28,sfaizi24,1,0,0,0,0,0,0,0,1
2026-03-28,skbb2553,1,0,0,0,0,0,0,0,1
2026-03-28,souravppm,1,0,0,0,0,0,0,0,1
2026-03-28,sudeepgupta90,1,0,0,0,0,0,0,0,1
2026-03-28,swaroop97,1,0,0,0,0,0,0,0,1
2026-03-28,swasxtik,1,0,0,0,0,0,0,0,1
2026-03-28,thara-sritharadol,1,0,0,0,0,0,0,0,1
2026-03-28,tprashanth1907,1,0,0,0,0,0,0,0,1
2026-03-28,vikeshkumar1017,1,0,0,0,0,0,0,0,1
2026-03-28,wahabali,1,0,0,0,0,0,0,0,1
2026-03-28,wellingtonb3,1,0,0,0,0,0,0,0,1
